forwomen;"actor_card,art_card,bag_w,baloon_card,book,ceramic_teapot,concert_tikets,cookies_form,cookbook,diary,dishes,dishes2,ereader,extreme_driving_card,food_processor,foot_warmer,game_for_couple,gym_w,health_w,laptop,itrest_card,jeverly_box,juicer,massage_card,massager,mirror,pan,phone_w,poncho,pottery_card,quilling_card,riding_card,ridingtour_card,romantic_deinner,self_defense_card,shopping_card,Smartwatch,spa_card_1,spa_card,sport_stuff,sushi_card,Taepot,Thermocup,tennis_card,theatre_tickets,travel_tour_card,travel_case,Tonometr,umbrella_w,vocal_card,watch_w,weekend_card,yoga_card"
formen;"actor_card,art_card,alcohol,autoregistrator,backgammon,bag_m,baloon_card,belt,bike,billiards_card,book,buggy_driving,camera,cigars,clothes_m,concert_tikets,cosmetics_m,diary,djlessons_card_card,drivinglessons_card,drums_card,electric_shaver,ereader,excursion_card,extreme_driving_card,fishing_card,fishing,flashmemory,foot_warmer,gamesclub_card,glasses,grilkit,guitarlessons,gym_m,headphones,health_m,karting_card,keyholder,laptop,magicball,massager,model,parfume_m_1,parfume_m,phone_m,photo_card,Ps,purse,quest_card,razor,seat_covers,shavingkit,shop_card_m,skateboard,skewerkit,sleepwear_m,smartwatch,smoking_pipe,sneakers,soccer_ticket,sport_stuff,tennis_card,thermocup,tonometr,tools,travel_case,traveltour_tickets,umbrella_m,watch_m,weekend_card,xbox"
forchildren;"bike,book,djlessons_card_card,drums_card,ereader,glasses,guitarlessons_card,headphones,laptop,magicball,model,phone_m,ps,quest_card,skateboard,smartwatch,sneakers,sport_stuff,umbrella_w,xbox"
hobby;"alcohol,actor_card,art_card,baloon_card,extreme_driving_card,gym_w,health_w,itrest_card,massage_card,phone_w,pottery_card,quilling_card,riding_card,romantic_deinner,self_defense_,shopping_card,spa_card_1,spa_card,sushi_card,tennis_card,theatre_tickets,travel_tour_card,vocal_card,yoga_card,cookbook,backgammon,bike,billiards_card,book,buggy_driving,camera,cigars,concert_tikets,diary,djlessons_card,drivinglessons_card,drums_card,ereader,excursion_card,fishing_card,fishing,gamesclub_card,glasses,grilkit,guitarlessons_card,headphones,health_m,karting_card,photo_card,ps,quest_card,shop_card_m,skateboard,skewerkit,smartwatch,smoking_pipe,soccer_ticket,sport_stuff,tools,travel_case,traveltour_tickets,watch_m,weekend_card,xbox"
celebration;"alcohol,clothes_m,concert_tikets,Cosmetics,shavingkit,soccer_ticket,traveltour_tickets,weekend_card,game_for_couple,itrest_card,ridingtour,romantic_deinner,Shavingkit,spa_card,sport_stuff,sushi_card,theatre_tickets
profession;"autoregistrator,bag_m,Bike,book,Camera,clothes_m,Diary,Flashmemory,Glasses,Grilkit,Laptop,photo_card,seat_covers,Skewerkit,Thermocup,Tonometr,Tools,travel_case,watch_w,watch_m"
housewife;"ceramic_teapot,cookies_form,dishes,dishes2,food_processor,jeverly_box,juicer,mirror,massage_card,massager,pan,shopping_card,spa_card_1,taepot,theatre_tickets,umbrella_w,cookbook,yoga_card
photo;"mirror,camera,excursion_card,flashmemory,glasses,laptop,phone_m,photo_card
music;"djlessons_card_card,drums_card,flashmemory,guitarlessons_card,headphones,phone_m"
work;"bag_w,phone_w,umbrella_w,watch_w,autoregistrator_m,bag_m,belt,clothes_m,cosmetics_m,diary,electric_shaver,glasses,gym_m,keyholder,laptop,magicball,parfume_m_1,phone_m,purse,razor,shavingkit,smartwatch,thermocup,tonometr,umbrella_m,watch_m"
creative;"actor_card,art_card,camera,concert_tikets,diary,djlessons_card_card,drums_card,guitarlessons_card,headphones,laptop,photo_card,pottery_card,quest_card,quilling_card,vocal_card"
cooking;"ceramic_teapot,cookies_form,dishes,dishes2,food_processor,juicer,pan,sushi_card,taepot,grilkit,skewerkit,thermocup"
driver;"autoregistrator,drivinglessons_card,extreme_driving_card,glasses,health_m,massager,phone_w,phone_m,seat_covers,tools,travel_case
fisher;"alcohol,bag_m,belt,book,clothes_m,fishing_card,fishing,glasses,grilkit,pan"
hunter;"alcohol,bag_m,belt,book,clothes_m,glasses,grilkit,pan,skewerkit
itperson;"diary,ereader,flashmemory,headphones,laptop,phone_m,phone_w,ps,smartwatch,sneakers,thermocup,xbox"
sport;"gym_w,health_w,massage_card,riding_card,self_defense_card,tennis_card,yoga_card,clothes_m,cosmetics_m,gym_m,health_m,karting_card,parfume_m_1,shavingkit,smartwatch,sneakers,soccer_ticket,sport_stuff,thermocup,tonometr"
